World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1800,Saint Mary's University,Canada,39,-,1227,-,1736,66.5
1801,Technical University of Ostrava,Czech Republic,10,-,640,-,1779,66.5
1802,Union College,USA,318,176,125,-,-,66.5
1803,Eskişehir Osmangazi University,Turkey,44,-,-,-,1733,66.5
1804,Federal University of Ouro Preto,Brazil,50,-,-,-,1734,66.5
1805,Guizhou Medical University,China,268,-,-,-,1735,66.4
1806,Jiangxi Agricultural University,China,269,-,-,-,1737,66.4
1807,University of South Wales,United Kingdom,89,-,708,-,1772,66.4
1808,University of Health Sciences,Turkey,45,-,-,-,1738,66.4
1809,Dokkyo Medical University,Japan,106,-,-,-,1739,66.4
1810,"Institute of Chemical Technology, Mumbai",India,52,-,-,-,1740,66.4
1811,Tunghai University,Taiwan,30,-,1537,-,1741,66.4
1812,University of the Highlands and Islands,United Kingdom,90,-,-,-,1742,66.4
1813,Suzhou University of Science and Technology,China,270,-,-,-,1743,66.4
1814,Japan Advanced Institute of Science and Technology,Japan,107,-,-,-,1744,66.4
1815,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,Russia,37,-,-,-,1745,66.4
1816,University of Technology of Belfort-Montbéliard,France,69,-,-,-,1746,66.4
1817,University of Rajasthan,India,53,-,1628,-,1747,66.4
1818,Autonomous University of Chile,Chile,13,-,-,-,1748,66.4
1819,Hamilton College,USA,319,77,257,-,-,66.4
1820,Idaho State University,USA,320,452,-,-,1754,66.4
1821,Sanjay Gandhi Postgraduate Institute of Medical Sciences,India,54,-,-,-,1749,66.4
1822,"Institute of Physical Chemistry, Polish Academy of Sciences",Poland,36,-,-,-,1750,66.4
1823,University of Nova Gorica,Slovenia,3,-,-,-,1751,66.4
1824,Autonomous University of Sinaloa,Mexico,14,-,-,-,1752,66.4
1825,Ahvaz Jundishapur University of Medical Sciences,Iran,33,-,-,-,1753,66.4
1826,Kafrelsheikh University,Egypt,17,-,-,-,1756,66.4
1827,Naval Postgraduate School,USA,321,-,1309,-,1759,66.4
1828,Kyoto Sangyo University,Japan,108,-,1195,247,-,66.4
1829,Jimma University,Ethiopia,4,-,-,-,1757,66.4
1830,Nara Women's University,Japan,109,-,-,-,1758,66.4
1831,Hubei University of Technology,China,271,-,-,-,1760,66.4
1832,Sakarya University,Turkey,46,-,-,-,1761,66.3
1833,University of Mazandaran,Iran,34,-,-,-,1762,66.3
1834,Towson University,USA,322,-,792,-,1783,66.3
1835,Kawasaki Medical School,Japan,110,-,-,-,1763,66.3
1836,University of International Business and Economics,China,272,-,535,-,1836,66.3
1837,University of New Orleans,USA,323,-,-,-,1764,66.3
1838,University of Burgos,Spain,52,-,-,-,1765,66.3
1839,Umm Al-Qura University,Saudi Arabia,11,-,-,-,1766,66.3
1840,Mazandaran University of Medical Sciences,Iran,35,-,-,-,1767,66.3
1841,Ningxia University,China,273,-,-,-,1768,66.3
1842,Central University of Finance and Economics,China,274,-,591,-,1825,66.3
1843,University of Alaska Anchorage,USA,324,-,-,-,1769,66.3
1844,Jönköping University,Sweden,17,-,1630,-,1770,66.3
1845,"University of Puerto Rico, Río Piedras Campus",USA,325,-,-,-,1771,66.3
1846,Kettering University,USA,326,-,77,-,-,66.3
1847,Cracow University of Technology,Poland,37,-,-,-,1774,66.3
1848,University of Bergamo,Italy,65,-,-,-,1775,66.3
1849,Liaoning Normal University,China,275,-,1176,-,1780,66.3
1850,Meiji University,Japan,111,-,658,-,1809,66.3
1851,University of Toulon,France,70,-,-,-,1776,66.3
1852,Kanagawa University,Japan,112,-,-,-,1777,66.3
1853,Pamukkale University,Turkey,47,-,-,-,1778,66.3
1854,Technical University of Crete,Greece,12,-,-,-,1781,66.3
1855,Tribhuvan University,Nepal,1,-,-,-,1782,66.3
1856,University of Talca,Chile,14,-,-,-,1784,66.3
1857,Federal University of Alagoas,Brazil,51,-,-,-,1785,66.3
1858,"West Pomeranian University of Technology, Szczecin",Poland,38,-,-,-,1786,66.3
1859,Bond University,Australia,39,-,1522,-,1787,66.2
1860,Kyoto Institute of Technology,Japan,113,-,-,-,1789,66.2
1861,Franklin & Marshall College,USA,327,114,686,-,-,66.2
1862,Kaunas University of Technology,Lithuania,3,-,-,-,1790,66.2
1863,Sohag University,Egypt,18,-,-,-,1791,66.2
1864,A.N. Nesmeyanov Institute of Organoelement Compounds of the Russian Academy of Sciences,Russia,38,-,-,-,1792,66.2
1865,University of Valle,Colombia,7,-,-,-,1793,66.2
1866,University of Ostrava,Czech Republic,11,-,-,-,1794,66.2
1867,University of Rzeszów,Poland,39,-,-,-,1795,66.2
1868,IFP School,France,71,-,70,-,-,66.2
1869,Punjab Agricultural University,India,55,267,-,-,1852,66.2
1870,East China University of Technology,China,276,-,-,-,1796,66.2
1871,University of Winnipeg,Canada,40,-,-,-,1797,66.2
1872,Düsseldorf Art Academy,Germany,69,124,-,146,-,66.2
1873,Edinburgh Napier University,United Kingdom,91,-,-,-,1798,66.2
1874,Dongbei University of Finance and Economics,China,277,-,150,-,-,66.2
1875,National United University,Taiwan,31,-,-,-,1799,66.2
1876,Drew University,USA,328,-,655,126,-,66.2
1877,Ningxia Medical University,China,278,-,-,-,1800,66.2
1878,Federal University of Campina Grande,Brazil,52,-,-,-,1801,66.2
1879,National Defense Medical College,Japan,114,-,-,-,1802,66.2
1880,Far Eastern Federal University,Russia,39,-,-,-,1803,66.2
1881,Institute of Ecology (INECOL),Mexico,15,-,-,-,1804,66.2
1882,Riga Technical University,Latvia,2,-,-,-,1805,66.2
1883,Mediterranean University of Reggio Calabria,Italy,66,-,-,-,1806,66.2
1884,Mid Sweden University,Sweden,18,-,1572,-,1808,66.2
1885,University of Shizuoka,Japan,115,-,1078,-,1816,66.2
1886,Taizhou University,China,279,-,-,-,1807,66.1
1887,University of Karachi,Pakistan,10,-,-,-,1810,66.1
1888,IHE Delft Institute for Water Education,Netherlands,14,-,-,-,1811,66.1
1889,University of Technology of Compiègne,France,72,-,-,-,1812,66.1
1890,N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences,Russia,40,-,-,-,1813,66.1
1891,Chengdu University of Information Technology,China,280,-,1548,-,1815,66.1
1892,University of Madras,India,56,440,542,-,1887,66.1
1893,Federal Rural University of Rio de Janeiro,Brazil,53,-,-,-,1814,66.1
1894,University of Arkansas at Little Rock,USA,329,-,1274,-,1820,66.1
1895,A.V. Nikolaev Institute of Inorganic Chemistry of the Siberian Branch of the Russian Academy of Sciences,Russia,41,-,-,-,1817,66.1
1896,"Indian Institute of Science Education and Research, Bhopal",India,57,-,-,-,1818,66.1
1897,Federal University of Piauí,Brazil,54,-,-,-,1819,66.1
1898,Institute for Scintillation Materials,Ukraine,5,-,-,-,1821,66.1
1899,N.N. Bogolyubov Institute for Theoretical Physics of the National Academy of Sciences of Ukraine,Ukraine,6,-,-,-,1822,66.1
1900,Leeds Beckett University,United Kingdom,92,-,-,-,1823,66.1
1901,Liaoning University of Technology,China,281,-,-,-,1824,66.1
1902,Institut supérieur de l'aéronautique et de l'espace,France,73,-,181,-,-,66.1
1903,ESCP Business School,France,74,-,90,-,-,66.1
1904,Prince Sattam Bin Abdulaziz University,Saudi Arabia,12,-,-,-,1826,66.1
1905,Başkent University,Turkey,48,-,1525,-,1827,66.1
1906,Harbin Normal University,China,282,-,1481,-,1828,66.1
1907,Shiraz University of Technology,Iran,36,-,-,-,1829,66.1
1908,Central University of Venezuela,Venezuela,1,-,1542,-,1832,66.1
1909,University of Science and Technology Houari Boumediene,Algeria,1,-,-,-,1830,66.1
1910,National Chiayi University,Taiwan,32,-,-,-,1831,66.1
1911,Yancheng Institute of Technology,China,283,-,-,-,1833,66.1
1912,Muhimbili University of Health and Allied Sciences,Tanzania,1,-,-,-,1834,66.1
1913,Lebanese University,Lebanon,2,-,-,-,1835,66
1914,Chubu University,Japan,116,-,-,-,1838,66
1915,Rajiv Gandhi University of Health Sciences,India,58,-,-,-,1839,66
1916,Baqiyatallah University of Medical Sciences,Iran,37,-,-,-,1840,66
1917,Çankaya University,Turkey,49,-,-,-,1842,66
1918,University of La Réunion,France,75,-,-,-,1843,66
1919,"Indian Institute of Science Education and Research, Mohali",India,59,-,-,-,1845,66
1920,Guru Nanak Dev University,India,60,-,1483,-,1846,66
1921,Beaux-Arts de Paris,France,76,48,-,-,-,66
1922,"Institute of Physics, Polish Academy of Sciences",Poland,40,-,-,-,1847,66
1923,Suez University,Egypt,19,-,-,-,1849,66
1924,University of Lagos,Nigeria,3,-,-,-,1850,66
1925,Wellesley College,USA,330,-,723,-,1874,66
1926,University of Wolverhampton,United Kingdom,93,-,-,-,1851,66
1927,Anhui University of Science and Technology,China,284,-,1242,-,1854,66
1928,Dalarna University,Sweden,19,-,-,-,1853,66
1929,Shahrood University of Technology,Iran,38,-,-,-,1855,66
1930,Florida Agricultural and Mechanical University,USA,331,-,-,-,1856,66
1931,National Yunlin University of Science and Technology,Taiwan,33,-,-,-,1857,66
1932,Eastern Mediterranean University,Northern Cyprus,2,-,-,-,1859,66
1933,SASTRA,India,61,-,-,-,1860,66
1934,Shanxi Normal University,China,285,-,-,-,1861,66
1935,Washington and Lee University,USA,332,104,193,-,-,66
1936,Qingdao University of Technology,China,286,-,-,-,1863,66
1937,National University of Comahue,Argentina,9,-,-,-,1864,66
1938,Adolfo Ibáñez University,Chile,15,-,754,-,1889,66
1939,Jazan University,Saudi Arabia,13,-,-,-,1865,66
1940,Wuhan Textile University,China,287,-,-,-,1866,66
1941,Ahmadu Bello University,Nigeria,4,-,1353,-,1868,65.9
1942,Kütahya Dumlupınar University,Turkey,50,-,-,-,1867,65.9
1943,University of Science and Technology Liaoning,China,288,-,771,-,1891,65.9
1944,Osaka Medical College,Japan,117,-,-,-,1869,65.9
1945,Reichman University,Israel,9,-,522,-,1951,65.9
1946,Westlake University,China,289,-,-,-,1870,65.9
1947,American University in Cairo,Egypt,20,-,252,-,-,65.9
1948,Josip Juraj Strossmayer University of Osijek,Croatia,4,-,-,-,1871,65.9
1949,Binzhou Medical University,China,290,-,-,-,1872,65.9
1950,Siberian Federal University,Russia,42,-,-,-,1873,65.9
1951,Çağ University,Turkey,51,-,-,-,1875,65.9
1952,University of Sonora,Mexico,16,-,-,-,1876,65.9
1953,Bandung Institute of Technology,Indonesia,2,-,540,-,1957,65.9
1954,"Graduate School & Training Center, Research Institute of Petroleum Exploration and Development",China,291,-,76,-,-,65.9
1955,University of Richmond,USA,333,-,-,-,1877,65.9
1956,Hubei University of Medicine,China,292,-,-,-,1878,65.9
1957,Duquesne University,USA,334,-,828,-,1900,65.9
1958,Hanoi University of Science and Technology,Vietnam,5,-,-,-,1879,65.9
1959,Air Force Engineering University,China,293,-,-,-,1880,65.9
1960,Kharazmi University,Iran,39,-,-,-,1881,65.9
1961,Tezpur University,India,62,-,-,-,1882,65.9
1962,East China Jiaotong University,China,294,-,1563,-,1883,65.9
1963,Federal University of Amazonas,Brazil,55,-,-,-,1884,65.9
1964,Ss. Cyril and Methodius University in Skopje,North Macedonia,1,-,-,-,1885,65.9
1965,University of Québec at Chicoutimi,Canada,41,-,-,-,1886,65.9
1966,Dalian Polytechnic University,China,295,-,1162,-,1895,65.9
1967,University of Roehampton,United Kingdom,94,-,-,-,1888,65.9
1968,University of West Bohemia,Czech Republic,12,-,-,-,1890,65.8
1969,"Indian Institute of Engineering Science and Technology, Shibpur",India,63,-,-,-,1892,65.8
1970,Gadjah Mada University,Indonesia,3,-,-,-,1894,65.8
1971,University of Veracruz,Mexico,17,-,-,-,1896,65.8
1972,University of Northern British Columbia,Canada,42,-,-,-,1897,65.8
1973,Shaoxing University,China,296,-,-,-,1898,65.8
1974,Gebze Technical University,Turkey,52,-,-,-,1899,65.8
1975,Huaiyin Normal University,China,297,-,-,-,1901,65.8
1976,İnönü University,Turkey,53,-,-,-,1902,65.8
1977,Chengdu University,China,298,-,-,-,1903,65.8
1978,An-Najah National University,Palestine,1,-,-,-,1904,65.8
1979,"Indian Institute of Science Education and Research, Thiruvananthapuram",India,64,-,-,-,1905,65.8
1980,Mälardalen University,Sweden,20,-,-,-,1906,65.8
1981,Huaibei Normal University,China,299,-,-,-,1907,65.8
1982,École nationale vétérinaire de Toulouse,France,77,-,-,-,1908,65.8
1983,Technical University of Košice,Slovak Republic,4,-,-,-,1909,65.8
1984,Hebei University of Science and Technology,China,300,-,1035,-,1924,65.8
1985,University of Sousse,Tunisia,5,-,-,-,1910,65.8
1986,Van Yüzüncü Yıl University,Turkey,54,-,-,-,1911,65.8
1987,Chengdu University of Traditional Chinese Medicine,China,301,-,-,-,1912,65.8
1988,Annamalai University,India,65,533,-,-,1913,65.8
1989,Sinop University,Turkey,55,-,-,-,1914,65.8
1990,Yasouj University,Iran,40,-,-,-,1915,65.8
1991,Giresun University,Turkey,56,-,-,-,1916,65.8
1992,University of North Florida,USA,335,-,-,-,1917,65.8
1993,"University of Djillali Liabès, Sidi Bel-Abbès",Algeria,2,-,-,-,1918,65.8
1994,Hanoi Medical University,Vietnam,6,-,-,-,1919,65.8
1995,Kanazawa Medical University,Japan,118,-,-,-,1920,65.8
1996,Bharathidasan University,India,66,-,-,-,1921,65.8
1997,Federal University of Maranhão,Brazil,56,-,-,-,1923,65.7
1998,Jiangxi University of Finance and Economics,China,302,-,797,-,1948,65.7
1999,University of Tarapacá,Chile,16,-,-,-,1925,65.7
2000,National Institute of Mental Health and Neurosciences,India,67,-,-,-,1926,65.7
